,p_low,entropy_max,area_max,alpha,accuracy_conf,inconclusive_rate,precision_conf,recall_conf,f1_conf,counts_neg,counts_pos,counts_inc
294,0.22,2.6,0.2,0.7,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
295,0.22,2.6,0.15,0.3,0.7538461538461538,0.61,0.5,0.4375,0.4666666666666667,153,42,305
296,0.22,2.6,0.15,0.4,0.7216981132075472,0.576,0.4576271186440678,0.5,0.4778761061946903,153,59,288
297,0.22,2.6,0.15,0.5,0.7104072398190046,0.558,0.45588235294117646,0.5344827586206896,0.49206349206349204,153,68,279
298,0.22,2.6,0.15,0.6,0.7130044843049327,0.554,0.4714285714285714,0.55,0.5076923076923077,153,70,277
299,0.22,2.6,0.15,0.7,0.7142857142857143,0.552,0.4788732394366197,0.5573770491803278,0.5151515151515151,153,71,276
300,0.22,3.0,,0.3,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
301,0.22,3.0,,0.4,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
302,0.22,3.0,,0.5,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
303,0.22,3.0,,0.6,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
304,0.22,3.0,,0.7,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
305,0.22,3.0,0.3,0.3,0.7003484320557491,0.426,0.5597014925373134,0.7352941176470589,0.635593220338983,153,134,213
306,0.22,3.0,0.3,0.4,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
307,0.22,3.0,0.3,0.5,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
308,0.22,3.0,0.3,0.6,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
309,0.22,3.0,0.3,0.7,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
310,0.22,3.0,0.25,0.3,0.6884615384615385,0.48,0.4953271028037383,0.6625,0.5668449197860963,153,107,240
311,0.22,3.0,0.25,0.4,0.6986301369863014,0.416,0.5611510791366906,0.7428571428571429,0.639344262295082,153,139,208
312,0.22,3.0,0.25,0.5,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
313,0.22,3.0,0.25,0.6,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
314,0.22,3.0,0.25,0.7,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
315,0.22,3.0,0.2,0.3,0.7056277056277056,0.538,0.47435897435897434,0.578125,0.5211267605633803,153,78,269
316,0.22,3.0,0.2,0.4,0.6926070038910506,0.486,0.5,0.6582278481012658,0.5683060109289617,153,104,243
317,0.22,3.0,0.2,0.5,0.698961937716263,0.422,0.5588235294117647,0.7378640776699029,0.6359832635983264,153,136,211
318,0.22,3.0,0.2,0.6,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
319,0.22,3.0,0.2,0.7,0.7006802721088435,0.412,0.5673758865248227,0.7476635514018691,0.6451612903225806,153,141,206
320,0.22,3.0,0.15,0.3,0.751269035532995,0.606,0.5,0.4489795918367347,0.4731182795698925,153,44,303
321,0.22,3.0,0.15,0.4,0.696969696969697,0.538,0.44871794871794873,0.5645161290322581,0.5,153,78,269
322,0.22,3.0,0.15,0.5,0.686046511627907,0.484,0.4857142857142857,0.6538461538461539,0.5573770491803278,153,105,242
323,0.22,3.0,0.15,0.6,0.6914893617021277,0.436,0.5348837209302325,0.71875,0.6133333333333333,153,129,218
324,0.22,3.0,0.15,0.7,0.6986301369863014,0.416,0.5611510791366906,0.7428571428571429,0.639344262295082,153,139,208
325,0.22,3.4,,0.3,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
326,0.22,3.4,,0.4,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
327,0.22,3.4,,0.5,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
328,0.22,3.4,,0.6,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
329,0.22,3.4,,0.7,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
330,0.22,3.4,0.3,0.3,0.6973684210526315,0.392,0.5695364238410596,0.7610619469026548,0.6515151515151515,153,151,196
331,0.22,3.4,0.3,0.4,0.7461928934010152,0.212,0.6970954356846473,0.8615384615384616,0.7706422018348624,153,241,106
332,0.22,3.4,0.3,0.5,0.768348623853211,0.128,0.7385159010600707,0.885593220338983,0.8053949903660886,153,283,64
333,0.22,3.4,0.3,0.6,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
334,0.22,3.4,0.3,0.7,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
335,0.22,3.4,0.25,0.3,0.6879699248120301,0.468,0.504424778761062,0.6785714285714286,0.5786802030456852,153,113,234
336,0.22,3.4,0.25,0.4,0.7130177514792899,0.324,0.6216216216216216,0.8098591549295775,0.7033639143730887,153,185,162
337,0.22,3.4,0.25,0.5,0.7596153846153846,0.168,0.7224334600760456,0.8755760368663594,0.7916666666666666,153,263,84
338,0.22,3.4,0.25,0.6,0.7671232876712328,0.124,0.7368421052631579,0.8860759493670886,0.8045977011494253,153,285,62
339,0.22,3.4,0.25,0.7,0.7659090909090909,0.12,0.735191637630662,0.8865546218487395,0.8038095238095239,153,287,60
340,0.22,3.4,0.2,0.3,0.7056277056277056,0.538,0.47435897435897434,0.578125,0.5211267605633803,153,78,269
341,0.22,3.4,0.2,0.4,0.6853932584269663,0.466,0.5,0.6785714285714286,0.5757575757575758,153,114,233
342,0.22,3.4,0.2,0.5,0.7164179104477612,0.33,0.6263736263736264,0.8085106382978723,0.7058823529411765,153,182,165
343,0.22,3.4,0.2,0.6,0.7536585365853659,0.18,0.7120622568093385,0.8714285714285714,0.7837259100642399,153,257,90
344,0.22,3.4,0.2,0.7,0.7648401826484018,0.124,0.7333333333333333,0.885593220338983,0.8023032629558541,153,285,62
345,0.22,3.4,0.15,0.3,0.751269035532995,0.606,0.5,0.4489795918367347,0.4731182795698925,153,44,303
346,0.22,3.4,0.15,0.4,0.6982758620689655,0.536,0.45569620253164556,0.5714285714285714,0.5070422535211268,153,79,268
347,0.22,3.4,0.15,0.5,0.6851851851851852,0.46,0.5042735042735043,0.686046511627907,0.5812807881773399,153,117,230
348,0.22,3.4,0.15,0.6,0.711764705882353,0.32,0.6203208556149733,0.8111888111888111,0.703030303030303,153,187,160
349,0.22,3.4,0.15,0.7,0.762589928057554,0.166,0.7272727272727273,0.8767123287671232,0.7950310559006211,153,264,83
350,0.22,3.8,,0.3,0.788,0.0,0.7723342939481268,0.9084745762711864,0.8348909657320872,153,347,0
351,0.22,3.8,,0.4,0.788,0.0,0.7723342939481268,0.9084745762711864,0.8348909657320872,153,347,0
352,0.22,3.8,,0.5,0.788,0.0,0.7723342939481268,0.9084745762711864,0.8348909657320872,153,347,0
353,0.22,3.8,,0.6,0.788,0.0,0.7723342939481268,0.9084745762711864,0.8348909657320872,153,347,0
354,0.22,3.8,,0.7,0.788,0.0,0.7723342939481268,0.9084745762711864,0.8348909657320872,153,347,0
355,0.22,3.8,0.3,0.3,0.6973684210526315,0.392,0.5695364238410596,0.7610619469026548,0.6515151515151515,153,151,196
356,0.22,3.8,0.3,0.4,0.7468671679197995,0.202,0.6991869918699187,0.864321608040201,0.7730337078651686,153,246,101
357,0.22,3.8,0.3,0.5,0.7819706498951782,0.046,0.7623456790123457,0.9014598540145985,0.8260869565217391,153,324,23
358,0.22,3.8,0.3,0.6,0.7862903225806451,0.008,0.7696793002915452,0.9072164948453608,0.832807570977918,153,343,4
359,0.22,3.8,0.3,0.7,0.7875751503006012,0.002,0.7716763005780347,0.9081632653061225,0.834375,153,346,1
360,0.22,3.8,0.25,0.3,0.6879699248120301,0.468,0.504424778761062,0.6785714285714286,0.5786802030456852,153,113,234
361,0.22,3.8,0.25,0.4,0.7130177514792899,0.324,0.6216216216216216,0.8098591549295775,0.7033639143730887,153,185,162
362,0.22,3.8,0.25,0.5,0.7665903890160183,0.126,0.7359154929577465,0.885593220338983,0.8038461538461539,153,284,63
363,0.22,3.8,0.25,0.6,0.7861507128309573,0.018,0.7692307692307693,0.9059233449477352,0.832,153,338,9
364,0.22,3.8,0.25,0.7,0.7875751503006012,0.002,0.7716763005780347,0.9081632653061225,0.834375,153,346,1
365,0.22,3.8,0.2,0.3,0.7056277056277056,0.538,0.47435897435897434,0.578125,0.5211267605633803,153,78,269
366,0.22,3.8,0.2,0.4,0.6853932584269663,0.466,0.5,0.6785714285714286,0.5757575757575758,153,114,233
367,0.22,3.8,0.2,0.5,0.7151335311572701,0.326,0.625,0.8098591549295775,0.7055214723926381,153,184,163
368,0.22,3.8,0.2,0.6,0.7603686635944701,0.132,0.7259786476868327,0.8831168831168831,0.796875,153,281,66
369,0.22,3.8,0.2,0.7,0.7849898580121704,0.014,0.7676470588235295,0.90625,0.8312101910828026,153,340,7
370,0.22,3.8,0.15,0.3,0.751269035532995,0.606,0.5,0.4489795918367347,0.4731182795698925,153,44,303
371,0.22,3.8,0.15,0.4,0.6982758620689655,0.536,0.45569620253164556,0.5714285714285714,0.5070422535211268,153,79,268
372,0.22,3.8,0.15,0.5,0.6851851851851852,0.46,0.5042735042735043,0.686046511627907,0.5812807881773399,153,117,230
373,0.22,3.8,0.15,0.6,0.7113702623906706,0.314,0.6210526315789474,0.8137931034482758,0.7044776119402985,153,190,157
374,0.22,3.8,0.15,0.7,0.775330396475771,0.092,0.7508305647840532,0.8932806324110671,0.8158844765342961,153,301,46
375,0.24,2.2,,0.3,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
376,0.24,2.2,,0.4,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
377,0.24,2.2,,0.5,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
378,0.24,2.2,,0.6,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
379,0.24,2.2,,0.7,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
380,0.24,2.2,0.3,0.3,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
381,0.24,2.2,0.3,0.4,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
382,0.24,2.2,0.3,0.5,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
383,0.24,2.2,0.3,0.6,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
384,0.24,2.2,0.3,0.7,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
385,0.24,2.2,0.25,0.3,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
386,0.24,2.2,0.25,0.4,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
387,0.24,2.2,0.25,0.5,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
388,0.24,2.2,0.25,0.6,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
389,0.24,2.2,0.25,0.7,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
390,0.24,2.2,0.2,0.3,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
391,0.24,2.2,0.2,0.4,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
392,0.24,2.2,0.2,0.5,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
393,0.24,2.2,0.2,0.6,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
394,0.24,2.2,0.2,0.7,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
395,0.24,2.2,0.15,0.3,0.7741935483870968,0.628,0.52,0.3023255813953488,0.38235294117647056,161,25,314
396,0.24,2.2,0.15,0.4,0.7712765957446809,0.624,0.5185185185185185,0.3181818181818182,0.39436619718309857,161,27,312
397,0.24,2.2,0.15,0.5,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
398,0.24,2.2,0.15,0.6,0.7724867724867724,0.622,0.5357142857142857,0.3333333333333333,0.410958904109589,161,28,311
